time,open,high,low,close,volume,tickVolume
2026-09-15T16:00:00Z,4289.508,4298.372,4285.591,4295.762,0,7192
2026-09-15T17:00:00Z,4295.815,4299.342,4290.51,4294.903,0,6344
2026-09-15T18:00:00Z,4295.009,4310.564,4292.943,4308.597,0,7036
2026-09-15T19:00:00Z,4308.641,4310.881,4294.228,4297.627,0,5551
2026-09-15T20:00:00Z,4297.821,4299.24,4291.895,4293.654,0,3338
2026-09-15T22:00:00Z,4296.191,4299.029,4288.911,4288.952,0,3405
2026-09-15T23:00:00Z,4289.15,4289.825,4281.267,4283.503,0,3876
2026-09-16T00:00:00Z,4283.809,4286.346,4275.518,4277.334,0,5157
2026-09-16T01:00:00Z,4277.331,4293.807,4276.706,4282.757,0,7572
2026-09-16T02:00:00Z,4282.426,4323.654,4281.815,4321.579,0,9251
2026-09-16T03:00:00Z,4321.513,4341.37,4321.422,4327.113,0,7742
2026-09-16T04:00:00Z,4327.17,4328.669,4320.549,4321.782,0,4319
2026-09-16T05:00:00Z,4321.965,4333.851,4320.918,4326.737,0,6368
2026-09-16T06:00:00Z,4326.805,4333.104,4321.417,4332.918,0,6767
2026-09-16T07:00:00Z,4332.79,4339.293,4328.754,4329.293,0,6806
2026-09-16T08:00:00Z,4329.347,4337.816,4322.973,4330.466,0,7052
2026-09-16T09:00:00Z,4330.297,4339.338,4327.449,4338.106,0,6257
2026-09-16T10:00:00Z,4338.22,4351.413,4337.778,4351.413,0,6348
2026-09-16T11:00:00Z,4350.993,4353.755,4341.885,4341.947,0,6868
2026-09-16T12:00:00Z,4341.87,4349.135,4335.285,4347.487,0,7371
2026-09-16T13:00:00Z,4347.295,4360.544,4335.126,4338.527,0,11483
2026-09-16T14:00:00Z,4338.509,4356.265,4324.366,4355.048,0,10288
2026-09-16T15:00:00Z,4355.186,4361.995,4342.915,4353.028,0,9319
2026-09-16T16:00:00Z,4353.208,4353.208,4343.705,4346.523,0,5692
2026-09-16T17:00:00Z,4346.442,4365.44,4341.752,4360.888,0,6212
2026-09-16T18:00:00Z,4361.029,4368.461,4257.251,4261.33,0,28760
2026-09-16T19:00:00Z,4261.135,4287.559,4235.236,4272.573,0,24561
2026-09-16T20:00:00Z,4272.487,4274.188,4257.164,4264.408,0,6680
2026-09-16T22:00:00Z,4263.169,4276.484,4257.546,4266.79,0,4384
2026-09-16T23:00:00Z,4266.846,4275.651,4258.793,4271.691,0,5575
2026-09-17T00:00:00Z,4271.747,4292.507,4266.137,4280.369,0,9593
2026-09-17T01:00:00Z,4280.228,4318.294,4280.137,4300.518,0,11599
2026-09-17T02:00:00Z,4300.466,4301.237,4274.026,4277.365,0,9816
2026-09-17T03:00:00Z,4277.356,4297.663,4276.987,4296.208,0,6919
2026-09-17T04:00:00Z,4296.187,4299.107,4290.43,4297.386,0,5303
2026-09-17T05:00:00Z,4297.329,4305.36,4285.641,4304.465,0,7241
2026-09-17T06:00:00Z,4304.389,4315.482,4304.285,4310.93,0,8820
2026-09-17T07:00:00Z,4311.005,4335.562,4309.252,4327.122,0,8173
